trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'e': 0.08137884587711594, 'a': 0.5}",25,0,25.40645210611421,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'e': 0.08111071056538127, 'a': 0.5}",25,0,-48.43658420583392,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
153,False,"{'e': 0.08084520834544433, 'a': 0.5}",25,13,-24.72252944493875,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'e': 0.08058229640253803, 'a': 0.5}",25,0,-66.25194858143462,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
155,False,"{'e': 0.08032193289024989, 'a': 0.5}",25,11,20.082808655620518,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'e': 0.08006407690254357, 'a': 0.5}",20,16,5.618426530652308,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.07980868844676221, 'a': 0.5}",25,16,15.557531220827673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'e': 0.079555728417573, 'a': 0.5}",20,0,27.93435211115806,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'e': 0.07930515857181442, 'a': 0.5}",25,0,-60.13831262407236,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",1
160,False,"{'e': 0.07905694150420949, 'a': 0.5}",30,0,36.175253798868226,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'e': 0.07881104062391006, 'a': 0.5}",20,0,-12.29833815159541,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
162,False,"{'e': 0.07856742013183861, 'a': 0.5}",30,0,-6.619487667039844,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
163,False,"{'e': 0.07832604499879574, 'a': 0.5}",30,13,28.67469754684593,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'e': 0.07808688094430304, 'a': 0.5}",20,0,13.07073774430287,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'e': 0.0778498944161523, 'a': 0.5}",25,0,23.371981124918076,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
